,Country,Total
0,Aruba,117.23447508626053
1,Angola,25.0
2,Albania,22069.108694204984
3,Andorra,899.4452749331225
4,United Arab Emirates,5825.0
5,Armenia,4536.679976506356
6,Antigua and Barbuda,36.03828211836632
7,Australia,6754.548462447993
8,Austria,14741.4044390305
9,Azerbaijan,1839.9020285186234
10,Burundi,29939.52846857081
11,Belgium,76752.69197639282
12,Bonaire Sint Eustatius and Saba,29930.528468570847
13,Burkina Faso,869.745620569341
14,Bangladesh,14564.516026630818
15,Bahrain,9554.949685797423
16,Bahamas,231.23683717599124
17,Bosnia and Herzegovina,2046.0626663040762
18,Belarus,4779.0
19,Belize,17.000000026357935
20,Brunei,137.00000929485958
21,Bhutan,5.9999974584995295
22,Botswana,29945.52846857081
23,Canada,135975.39858706074
24,Switzerland,31944.657840365788
25,Chile,135237.38452624448
26,China,80236.90906760687
27,Cameroon,1620.000000000645
28,Democratic Republic of Congo,8340.765054187119
29,Congo,206.0
30,Cape Verde,1593506.2216820002
31,Costa Rica,1011.1574114439608
32,Curacao,3.625828087130669
33,Cyprus,1400.545379908635
34,Czech Republic,8076.239612174396
35,Germany,185561.44912489993
36,Djibouti,1051.6025708130844
37,Dominica,15.000000000010987
38,Denmark,19632.09157528179
39,Dominican Republic,6135.0
40,Algeria,6317.30028654322
41,Eritrea,-5610.209776450827
42,Spain,188578.0
43,Estonia,1696.0367989714266
44,Ethiopia,-13772.10032508029
45,Finland,7111.241053582807
46,Fiji,7.916835092297142
47,Falkland Islands,29938.528468570847
48,France,143044.08189555866
49,Faeroe Islands,115.63950877575887
50,United Kingdom,262430.14059483254
51,Georgia,974.5440682675484
52,Gibraltar,131.0
53,Gambia,9.0
54,Equatorial Guinea,1026879.7819268162
55,Greece,2207.0
56,Grenada,18.420111752970072
57,Greenland,8.99999999608394
58,Guam,141.00000000112865
59,Guyana,112.61281944879288
60,Hong Kong,1.7161120106713386e-179
61,Honduras,695.1697182285127
62,Croatia,2307.1222072082323
63,Indonesia,23158.9570294658
64,India,206203.41334023757
65,Ireland,20697.893998973832
66,Iran,99633.60461927776
67,Iraq,1482.0
68,Iceland,1789.0
69,Israel,18027.63155317281
70,Italy,243598.41642080754
71,Jersey,278.0022192958097
72,Jordan,458.40281273425796
73,Japan,10553.531551244083
74,Kazakhstan,6995.846053776188
75,Kenya,404.8074372386875
76,Kyrgyzstan,841.6866467262597
77,Saint Kitts and Nevis,13.022477424628711
78,South Korea,8284.827684811224
79,Laos,17.00004270495275
80,Lebanon,673.0
81,Liberia,162.2448611280879
82,Libya,4176.605731099458
83,Saint Lucia,13.00006044223695
84,Liechtenstein,82.0
85,Lithuania,1070.0
86,Luxembourg,3541.8797856611045
87,Latvia,898.2196888202158
88,Morocco,8634.205456781925
89,Monaco,93.0
90,Moldova,21244.55648649609
91,Madagascar,1495725.4666153968
92,Maldives,212.0
93,Mexico,4524714.315684964
94,Macedonia,1692.9409925141322
95,Malta,-238.4527116848475
96,Myanmar,146.00000000000014
97,Mongolia,37.0
98,Northern Mariana Islands,29938.528468567223
99,Mauritania,5.9999999970261015
100,Montserrat,10.000000001921096
101,Mauritius,333.7116591677937
102,Malaysia,7185.411012876601
103,Namibia,14.000000004280166
104,New Caledonia,16.00000108962896
105,Niger,810.6193765267155
106,Nicaragua,45.28439480502238
107,Netherlands,59092.717646736266
108,Norway,6791.0
109,Nepal,9.0
110,New Zealand,1112.0
111,Oman,419.0
112,Pakistan,9749.0
113,Panama,53718.85268439058
114,Philippines,4076.0
115,Poland,39890.456339738615
116,Puerto Rico,7291.726214092039
117,Portugal,37000.97549439759
118,Paraguay,722.7671917431186
119,Kosovo,1257.743769511673
120,Romania,20045.433412047703
121,Russia,243299.17382326743
122,Singapore,1909.0
123,Sierra Leone,30037.535489935453
124,San Marino,356.0
125,Somalia,479.01003143106476
126,Serbia,12944.793520177447
127,Suriname,8.999999999976712
128,Slovakia,7783.955437288568
129,Slovenia,1954.0184052832449
130,Sweden,35375.409574394704
131,Sint Maarten (Dutch part),80.5452050282787
132,Syria,-5582147.808909335
133,Turks and Caicos Islands,26639133.35008505
134,Chad,45.0
135,Togo,98.00000007064747
136,Thailand,2700.0
137,Timor,24.178286765610526
138,Trinidad and Tobago,132.94059550505276
139,Tunisia,1538.3820685709236
140,Turkey,303448.6120894019
141,Taiwan,380.0
142,Tanzania,374.048787069619
143,Ukraine,10543.727135845867
144,Uruguay,31341.448487354653
145,United States,2224688.1041005
146,Uzbekistan,1955.1215170896805
147,Vatican,7.736597526071125
148,Saint Vincent and the Grenadines,14.0
149,British Virgin Islands,5.107029315235745
150,United States Virgin Islands,26390112.22061296
151,Vietnam,258.0
152,Yemen,-1.199201853454385e-81
153,Zambia,87.0
154,Zimbabwe,31.98012485578692
155,World,6813391.316063021
156,International,746.9459180741824
